Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""""","=""""",0,4.21,MTV Books/Pocket Books,Paperback,213,1999,1999,,2021/03/31,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
29056083,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",John Tiffany,"Tiffany, John","Jack Thorne, J.K. Rowling","=""0751565350""","=""9780751565355""",0,3.57,"Little, Brown",Hardcover,343,2016,2016,,2021/03/24,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
18307852,"En los zapatos de Valeria (Valeria, #1)",Elísabet Benavent,"Benavent, Elísabet",,"=""""","=""9788483655368""",0,3.96,Suma,Paperback,480,2013,2013,,2021/03/20,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
25883848,The Hating Game,Sally  Thorne,"Thorne, Sally",,"=""""","=""""",0,4.12,William Morrow Paperbacks,ebook,387,2016,2016,,2021/03/16,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
25788203,"Before (After, #5)",Anna Todd,"Todd, Anna",,"=""1501130706""","=""9781501130700""",0,3.84,Gallery Books,Paperback,338,2015,2015,,2021/02/19,next-to-read,next-to-read (#2),next-to-read,,,,0,,,0,,,,,
23214408,"After Ever Happy (After, #4)",Anna Todd,"Todd, Anna",,"=""1501106406""","=""9781501106408""",0,4.05,Gallery Books,Paperback,512,2015,2015,,2021/02/19,next-to-read,next-to-read (#1),next-to-read,,,,0,,,0,,,,,
51518972,"Majesty (American Royals, #2)",Katharine McGee,"McGee, Katharine",Laureline Chaplain,"=""198483021X""","=""9781984830210""",0,3.75,Random House Books for Young Readers,Hardcover,374,2020,2020,,2021/03/08,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
1934,Little Women,Louisa May Alcott,"Alcott, Louisa May",,"=""0451529308""","=""9780451529305""",0,4.10,Signet Classics,Paperback,449,2004,1880,,2021/02/21,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""""","=""""",0,4.27,Modern Library,Paperback,279,2000,1813,,2021/02/21,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
43744300,"American Royals (American Royals, #1)",Katharine McGee,"McGee, Katharine",,"=""1984830171""","=""9781984830173""",0,3.85,Random House Books for Young Readers,Hardcover,448,2019,2019,,2021/01/28,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
53439886,"How the King of Elfhame Learned to Hate Stories (The Folk of the Air, #3.5)",Holly Black,"Black, Holly",,"=""""","=""9780316540827""",0,4.26,"Little, Brown Books for Young Readers",ebook,200,2020,2020,,2021/01/21,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2021/01/18,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.57,Scholastic Inc.,Paperback,652,2006,2005,,2021/01/18,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.56,Scholastic,Paperback,734,2002,2000,,2021/01/18,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.50,Scholastic Inc.,Paperback,870,2004,2003,,2021/01/18,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",0,4.57,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2021/01/18,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.","ویدا اسلامیه, Mary GrandPré","=""""","=""""",0,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,,2021/01/18,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2021/01/18,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
50854655,"El duque y yo (Bridgerton, #1)",Julia Quinn,"Quinn, Julia",Mireia Terés Loriente,"=""8416327815""","=""9788416327812""",0,3.86,Urano,Paperback,315,2019,2000,,2021/01/18,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
40772063,"The Lost Sisters (The Folk of the Air, #1.5)",Holly Black,"Black, Holly",,"=""""","=""9780316310444""",0,3.53,NOVL,ebook,50,2018,2018,,2021/01/02,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
54513688,"Realm Breaker (Realm Breaker, #1)",Victoria Aveyard,"Aveyard, Victoria",,"=""""","=""""",0,3.75,Orion Publishing,Kindle Edition,576,2021,2021,,2020/12/29,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",0,4.05,Scholastic Press,Hardcover,398,2010,2010,,2020/12/12,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",0,4.30,Scholastic Press,Hardcover,391,2009,2009,,2020/12/12,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
26032887,"The Wicked King (The Folk of the Air, #2)",Holly Black,"Black, Holly",,"=""0316310336""","=""9780316310338""",0,4.34,"Little, Brown Books for Young Readers",ebook,336,2019,2019,,2020/12/11,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
44428899,"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,"Black, Holly",,"=""0316310425""","=""9780316310420""",0,4.34,"Little, Brown and Company",Hardcover,308,2019,2019,,2020/12/11,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
44778083,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635574048""","=""9781635574043""",0,4.43,Bloomsbury Publishing,Hardcover,803,2020,2020,,2020/12/11,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
35247769,"Always and Forever, Lara Jean (To All the Boys I've Loved Before, #3)",Jenny Han,"Han, Jenny",,"=""1481430483""","=""9781481430487""",0,4.08,Simon  Schuster Books for Young Readers,Hardcover,325,2017,2017,,2020/11/23,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
20698530,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",Jenny Han,"Han, Jenny",,"=""144242673X""","=""9781442426733""",0,4.08,Simon & Schuster Books for Young Readers,Hardcover,337,2015,2015,,2020/11/23,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
16096824,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1619634449""","=""9781619634442""",0,4.19,Bloomsbury USA Childrens,Hardcover,419,2015,2015,,2020/11/11,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
15749186,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,"Han, Jenny",,"=""""","=""""",0,4.12,Simon & Schuster Books for Young Readers,Hardcover,355,2014,2014,,2020/11/11,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",0,4.38,Alfred A. Knopf,Hardcover,552,2006,2005,,2020/11/11,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"Black, Holly",,"=""""","=""""",0,4.09,"Little, Brown Books for Young Readers",Hardcover,370,2018,2018,,2020/11/11,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",0,4.32,Scholastic Press,Hardcover,374,2008,2008,,2020/11/11,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
10194157,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",0,3.97,Henry Holt & Company,Hardcover,358,2012,2012,,2020/11/11,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1627792120""","=""9781627792127""",0,4.46,Henry Holt & Company,Hardcover,465,2015,2015,,2020/11/11,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",0,4.51,Penguin Group DAW,Hardcover,662,2007,2007,,2020/11/11,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",0,4.44,Bantam,Mass Market Paperback,835,2005,1996,,2020/11/11,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
