Book,Date,Chapters,Pending
Atomic Habits,2021-08-23,1 - 3,True
Atomic Habits,2021-08-24,4 - 7,True
Atomic Habits,2021-08-25,8 - 10,True
Atomic Habits,2021-08-26,11 - 14,True
Atomic Habits,2021-08-27,15 - 17,True
Atomic Habits,2021-08-28,18 - Appendix,True
