Book,Date,Chapters
City of Glass,24/08/2021,1 - 3
City of Glass,25/08/2021,4 - 5
City of Glass,26/08/2021,6 - 8
City of Glass,27/08/2021,9 - 11
City of Glass,28/08/2021,12 - 14
City of Glass,29/08/2021,15 - 16
City of Glass,30/08/2021,17 - 18
City of Glass,31/08/2021,19 - 20
City of Glass,01/09/2021,Epilogue
