Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
40786226,"Los señores del tiempo (La trilogía de La ciudad blanca, #3)",Eva García Sáenz de Urturi,"Urturi, Eva García Sáenz de",Eva García Sáenz,"=""8408193295""","=""9788408193296""",4,3.86,Planeta,Hardcover,441,2018,2018,2020/01/01,2019/10/24,2020,2020 (#1),read,"Un final de saga increíble. Me ha gustado mucho la información histórica que proporciona el libro. Considero que esta muy bien documentado y es un thriller muy bueno, no podría haber acabado mejor esta trilogia.",,,1,,,0,,,,,
38531615,La casa torcida,Agatha Christie,"Christie, Agatha",Stella Maris de Cal,"=""""","=""""",3,4.06,Espasa,Kindle Edition,235,2017,1949,2020/03/24,2020/03/07,2020,2020 (#7),read,,,,1,,,0,,,,,
51024744,Ocell blanc,"Palacio, R.J.","R.J., Palacio,",,"=""8416863648""","=""9788416863648""",5,4.33,La Campana,Paperback,224,2019,,2020/08/07,2020/08/06,2020,2020 (#17),read,"Una historia preciosa, que te enseña tanto la crueldad como la bondad de las personas. Para mi ha sido una lectura maravillosa que recomiendo a todo el mundo. Y me ha dejado unos valores muy importantes, como ser bueno con todo el mundo y aprender de la historia para que nunca se repita lo mismo.",,,1,,,0,,,,,
30811622,El color púrpura,Alice Walker,"Walker, Alice",Ana María de la Fuente,"=""""","=""""",0,4.23,"El Mundo Editores, S.A.",Hardcover,220,2002,1982,,2020/07/26,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
43449920,"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,"Oseman, Alice",,"=""""","=""""",5,4.64,Hodder Children's Books,Paperback,384,2020,2020,2020/07/24,2020/01/04,2020,2020 (#16),read,,,,1,,,0,,,,,
15722810,"Ciudad de las almas perdidas (Cazadores de sombras, #5)",Cassandra Clare,"Clare, Cassandra",Patricia Nunes,"=""8408008129""","=""9788408008125""",4,4.24,Destino,Hardcover,436,2012,2012,2020/07/26,2020/05/23,2020,2020 (#15),read,Como casi todos los libros de Cassandra Clare es muy bueno. Sin embargo desde mi punto de vista la primera mitad o un poco más del libro tiene un tiempo muy lento y no vi demasiada acción y por ello no le puedo dar las 5 estrellas. A partir de este punto el libro empieza a coger fuerza de nuevo y acaba de forma espectacular como sus otras novelas. Estoy impaciente por leer el sexto y acabar con la saga de los instrumentos mortales.,,,1,,,0,,,,,
50273222,"La nena (Elena Blanco, #3)",Carmen Mola,"Mola, Carmen",,"=""8420435988""","=""9788420435985""",0,4.21,Alfaguara,Paperback,388,2020,,,2020/06/03,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
45046628,Middlegame,Seanan McGuire,"McGuire, Seanan",,"=""1250234204""","=""9781250234209""",0,4.04,Tordotcom,Paperback,528,2020,2019,,2020/05/31,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
51933429,The Guest List,Lucy Foley,"Foley, Lucy",,"=""""","=""""",0,3.86,William Morrow,Hardcover,330,2020,2020,,2020/05/31,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
40864790,Pumpkinheads,Rainbow Rowell,"Rowell, Rainbow",Faith Erin Hicks,"=""125031285X""","=""9781250312853""",5,4.06,First Second,Hardcover,209,2019,2019,2020/05/23,2020/05/23,2020,2020 (#13),read,,,,1,,,0,,,,,
41050749,Els deliciosos dies de la Shirley,Elisabetta Gnone,"Gnone, Elisabetta",,"=""8499320198""","=""9788499320199""",4,4.75,DESTINO,Hardcover,,,,2020/05/23,2020/04/15,2020,2020 (#11),read,,,,1,,,0,,,,,
37798071,"El bestiario de Axlin (Guardianes de la Ciudadela, #1)",Laura Gallego García,"García, Laura Gallego",,"=""""","=""9789568474812""",4,4.30,Montena,Hardcover,508,2018,2018,2020/04/14,2019/11/23,2020,2020 (#10),read,,,,1,,,0,,,,,
52929129,La vida secreta de los escritores,Guillaume Musso,"Musso, Guillaume",Amaya García Gallego,"=""8491816577""","=""9788491816577""",0,3.91,Alianza,Paperback,256,2019,2019,,2019/10/19,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
52502202,La reina del aire y la oscuridad (Cazadores de sombras: Renacimiento #3),Cassandra Clare,"Clare, Cassandra",,"=""6070758285""","=""9786070758287""",0,4.35,Planeta Publishing,paperback,848,2019,2018,,2020/01/21,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
17280701,"La caída de los reinos (La caída de los reinos, #1)",Morgan Rhodes,"Rhodes, Morgan",,"=""8467560495""","=""9788467560497""",0,3.78,SM,Paperback,432,2013,2012,,2018/07/30,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
52331839,"La danza de los tulipanes (Ane Cestero, #1)",Ibon Martín,"Martín, Ibon",,"=""8401022711""","=""9788401022715""",0,3.98,Plaza & Janés,Paperback,496,2019,2019,,2019/10/19,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
52190885,"Las damas de Ivy Cottage (Tales from Ivy Hill, #2)",Julie Klassen,"Klassen, Julie",Cecilia González Godino,"=""8416973954""","=""9788416973958""",0,4.14,Libros de Seda,Paperback,384,2019,2017,,2019/10/15,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
44025640,El retrato de Dorian Gray,Oscar Wilde,"Wilde, Oscar",,"=""8417430296""","=""9788417430290""",3,4.09,Editorial Alma,Hardcover,256,2019,1890,2020/03/01,2020/01/02,2020,2020 (#6),read,,,,1,,,0,,,,,
1146746,"La maldición del maestro (Crónicas de la torre, #2)",Laura Gallego García,"García, Laura Gallego",,"=""8434886863""","=""9788434886865""",5,3.96,SM,Paperback,219,2004,2002,2020/03/07,2020/03/01,2020,2020 (#5),read,,,,1,,,0,,,,,
50737142,La cara norte del corazón,Dolores Redondo,"Redondo, Dolores",,"=""8423356353""","=""9788423356355""",4,4.00,Destino,Hardcover,688,2019,2019,2020/01/30,2020/01/01,2020,2020 (#2),read,,,,1,,,0,,,,,
40755184,Cumbres borrascosas,Emily Brontë,"Brontë, Emily",,"=""6070731786""","=""9786070731785""",0,3.87,Austral,Paperback,,2014,1847,,2020/01/21,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
50077635,Heridas con alas,Erin  Stewart,"Stewart, Erin",,"=""8417773878""","=""9788417773878""",0,4.18,Montena,Paperback,256,2019,2019,,2019/10/18,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
50075707,"El último dragón (Cuentos de Bereth, #1-2)",Javier Ruescas,"Ruescas, Javier",,"=""""","=""9788417773908""",0,3.91,Montena,Paperback,480,2019,,,2019/10/18,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
36500767,La brújula dorada,Philip Pullman,"Pullman, Philip",,"=""841716720X""","=""9788417167202""",0,4.00,Roca Editorial,Hardcover,382,2017,1995,,2019/11/29,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
45479341,"Los túneles de huesos (Las crónicas de Cassidy Blake, #2)",Victoria Schwab,"Schwab, Victoria",,"=""8492918721""","=""9788492918720""",0,4.09,Urano,Paperback,256,2019,2019,,2019/12/26,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
10388376,"Ciudad de los ángeles caídos (Cazadores de sombras, #4)",Cassandra Clare,"Clare, Cassandra",Isabel Murillo Fort,"=""8408099574""","=""9788408099574""",3,4.10,Destino,Hardcover,412,2011,2011,2019/12/22,2019/08/01,2019,2019 (#31),read,,,,1,,,0,,,,,
49461972,La muerte de las cuatro reinas,Astrid Scholte,"Scholte, Astrid","Tamara Arteaga, Yuliss M. Priego","=""""","=""9788417361785""",0,3.78,Ediciones Kiwi,Tapa blanda con solapas,426,2019,2019,,2019/10/24,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
40696238,Un extraño en casa,Shari Lapena,"Lapena, Shari",,"=""6073165161""","=""9786073165167""",5,3.67,Suma de letras,Paperback,376,2018,2017,2019/11/25,2019/10/22,2019,2019 (#30),read,,,,1,,,0,,,,,
35133922,Educated,Tara Westover,"Westover, Tara",,"=""""","=""""",0,4.46,Random House,Hardcover,334,2018,2018,,2019/11/23,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
43580078,Infinitas,Haizea M. Zubieta,"Zubieta, Haizea M.",,"=""""","=""9788417541255""",0,3.47,Roca Editorial,Paperback,447,2019,2019,,2019/11/23,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
32970794,Rojo y oro,Iria G. Parente,"Parente, Iria G.","Selene M. Pascual, Mar del Valle","=""8420485136""","=""9788420485133""",0,4.13,Alfaguara,Paperback,446,2017,2017,,2019/11/23,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
34267481,"Heredero (La segunda revolución, #1)",Costa Alcalá,"Alcalá, Costa","Fernando Alcala Suarez, Geòrgia Costa","=""8490436592""","=""9788490436592""",0,4.22,Montena (Infinita Plus),Paperback,479,2017,2017,,2019/11/23,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
41811331,"Cómo hacer que te pasen cosas buenas: Entiende tu cerebro, gestiona tus emociones, mejora tu vida",Marian Rojas Estapé,"Estapé, Marian Rojas",,"=""""","=""""",0,4.11,Espasa,Kindle Edition,247,2018,2018,,2019/11/23,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
41743264,"Reina roja (Antonia Scott, #1)",Juan Gomez-Jurado,"Gomez-Jurado, Juan",,"=""8466664416""","=""9788466664417""",0,4.10,Ediciones B,Hardcover,568,2018,2018,,2019/11/23,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
25314522,Sueños de piedra (Marabilia #1),Iria G. Parente,"Parente, Iria G.",Selene M. Pascual,"=""""","=""9788494335471""",0,4.19,Nocturna ediciones,Paperback,573,2015,2015,,2019/11/23,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
42513226,El orgullo del dragón (El dragón y el unicornio #1),Iria G. Parente,"Parente, Iria G.",Selene M. Pascual,"=""""","=""""",0,4.20,Nocturna Ediciones,Paperback,562,2019,2019,,2019/11/23,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
3438447,La Emperatriz de los Etéreos,Laura Gallego García,"García, Laura Gallego",,"=""9587046749""","=""9789587046748""",5,3.81,Alfaguara,Paperback,305,2008,2007,2019/11/22,2018/07/30,2019,2019 (#28),read,,,,1,,,0,,,,,
34505172,Los ritos del agua (La trilogía de La ciudad blanca #2),Eva García Sáenz de Urturi,"Urturi, Eva García Sáenz de",Eva García Sáenz,"=""8408169459""","=""9788408169451""",4,4.15,Editorial Planeta,Hardcover,448,2017,2017,2019/10/30,2019/10/24,2019,2019 (#27),read,,,,1,,,0,,,,,
45998116,"La posadera de Ivy Hill (Historias de Ivy Hill, #1)",Julie Klassen,"Klassen, Julie",,"=""""","=""""",0,3.91,Libros de Seda,Kindle Edition,500,2019,2016,,2019/10/27,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
6547259,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0575089946""","=""9780575089945""",0,4.48,Gollancz,Paperback,748,2010,2008,,2019/10/27,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
27046942,"El sabor de tus heridas (Ciclo de Dreaming Spires, #3)",Victoria Álvarez,"Álvarez, Victoria",,"=""""","=""9788426402684""",0,4.33,Lumen,Tapa blanda con solapas,412,2016,2016,,2019/10/24,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
20610964,"Tu nombre después de la lluvia (Ciclo de Dreaming Spires, #1)",Victoria Álvarez,"Álvarez, Victoria",,"=""8426400078""","=""9788426400079""",0,3.97,Lumen,Hardcover,579,2014,2014,,2019/10/24,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
23340345,"Contra la fuerza del viento (Ciclo de Dreaming Spires, #2)",Victoria Álvarez,"Álvarez, Victoria",,"=""""","=""9788426401526""",0,4.39,Lumen,Paperback,528,2015,2015,,2019/10/24,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
29794850,"El silencio de la ciudad blanca (La trilogía de La ciudad blanca, #1)",Eva García Sáenz de Urturi,"Urturi, Eva García Sáenz de",Eva García Sáenz,"=""""","=""""",3,4.27,,Kindle Edition,433,2016,2016,,2019/10/24,2018,2018 (#21),read,,,,1,,,0,,,,,
43559101,Un invitado inesperado,Shari Lapena,"Lapena, Shari",,"=""1949061809""","=""9781949061802""",5,3.79,Suma,Paperback,368,2019,2018,,2019/10/24,2019,2019 (#26),read,,,,1,,,0,,,,,
