Book,Date,Chapters
Atomic Habits,23/08/2021,1 - 3
Atomic Habits,24/08/2021,4 - 7
Atomic Habits,25/08/2021,8 - 10
Atomic Habits,26/08/2021,11 - 14
Atomic Habits,27/08/2021,15 - 17
Atomic Habits,28/08/2021,18 - Appendix
