Book,Date,Chapters
City of Ashes,22/08/2021,Prologue - 3
City of Ashes,23/08/2021,4 - 7
City of Ashes,24/08/2021,8 - 9
City of Ashes,25/08/2021,10 - 13
City of Ashes,26/08/2021,14 - 15
City of Ashes,27/08/2021,16 - 18
City of Ashes,28/08/2021,19 - Epilogue
